url	download_complete
wics.ics.uci.edu/exploreics?afg86_page_id=2	complete
wics.ics.uci.edu/exploreics?afg86_page_id=3	complete
ngs.ics.uci.edu/worship-tech/feed	complete
ngs.ics.uci.edu/busy-time	complete
www.ics.uci.edu/~wjohnson/BIDA/Ch13/leukemia.txt	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fcontrolling-health%2F	complete
ngs.ics.uci.edu/suffering-fools/feed	complete
ngs.ics.uci.edu/electronic-cultural-atlas-initiative-workshop/feed	incomplete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fworkshops-at-mm09%2F	complete
cml.ics.uci.edu/2015/05/center-member-and-ics-dean-hal-stern-to-help-lead-national-effort-to-improve-criminal-evidence-analysis-cut-wrongful-convictions	complete
wics.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwics.ics.uci.edu%2Fevent%2Fwics-games%2F	complete
wics.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwics.ics.uci.edu%2Fwics-hosts-a-toy-hacking-workshop-with-dr-garnet-hertz%2F&format=xml	complete
wics.ics.uci.edu/ics-banquet?share=twitter	complete
ngs.ics.uci.edu/real-time-search-2	incomplete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fwow-factor-in-photo-technologies-at-microsoft%2F&format=xml	complete
ngs.ics.uci.edu/ancient-rome-born-in-3d/feed	complete
ngs.ics.uci.edu?p=1739	complete
ngs.ics.uci.edu/environment-to-environment-e2e-communication/feed	complete
ngs.ics.uci.edu?p=1731	complete
wics.ics.uci.edu/spring-quarter-2017-week-3-riot-tour?share=google-plus-1	complete
ngs.ics.uci.edu?p=1734	complete
www.ics.uci.edu/grad/admissions	complete
cloudberry.ics.uci.edu	complete
wics.ics.uci.edu?p=2761	complete
ngs.ics.uci.edu/pictureal-producing-home-videos	complete
ngs.ics.uci.edu/extreme-stories-12	complete
ngs.ics.uci.edu/extreme-stories-11	complete
ngs.ics.uci.edu/extreme-stories-10	complete
ngs.ics.uci.edu/tag/contextual-circles	complete
cml.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcml.ics.uci.edu%2F2013%2F03%2Fspring-2013-2%2F	complete
ngs.ics.uci.edu/camera-with-wifi	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fsearch-center-at-berkeley%2F	complete
www.ics.uci.edu/~tlatoza	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fmultimedia-immersive-experience-in-hangzhou-a-show%2F&format=xml	complete
ngs.ics.uci.edu/towards-unified-search-ask/feed	complete
cloudberry.ics.uci.edu/wp-includes/wlwmanifest.xml	complete
wics.ics.uci.edu?p=196	complete
ngs.ics.uci.edu?p=1291	complete
wics.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwics.ics.uci.edu%2Fwinter-quarter-2017-week-7-intuit-interactive-hackathon-prep%2F&format=xml	complete
www.ics.uci.edu/~wjohnson/BIDA/Ch7/Ch7Rcode.txt	complete
ngs.ics.uci.edu?p=1921	complete
wics.ics.uci.edu?p=2373	complete
wics.ics.uci.edu?p=2371	complete
wics.ics.uci.edu?p=2377	complete
wics.ics.uci.edu?p=2375	complete
ngs.ics.uci.edu/knowledge-science	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fphotos-4-a-disruptive-change-in-communication%2F&format=xml	complete
wics.ics.uci.edu/wics-first-general-meeting/img_1623	complete
computableplant.ics.uci.edu/papers/XXX	complete
ngs.ics.uci.edu/about-ramesh/feed	complete
www.ics.uci.edu/%7Erjuang	complete
www.ics.uci.edu/~wjohnson/BIDA/Ch9/DiasorinData.txt	complete
www.ics.uci.edu/research	complete
wics.ics.uci.edu/event/project-meeting-8/feed	complete
ngs.ics.uci.edu/tag/contextual-circles/feed	complete
wics.ics.uci.edu/week-8-thanksgiving-potluck?afg14_page_id=1	complete
wics.ics.uci.edu/week-8-thanksgiving-potluck?afg14_page_id=2	complete
ngs.ics.uci.edu/extreme-stories-10/feed	complete
wics.ics.uci.edu/event/wics-networking-event?ical=1	complete
cloudberry.ics.uci.edu/jianfeng-won-the-google-graduate-student-award-in-ics	complete
sdcl.ics.uci.edu/research/past-projects/lighthouse	complete
wics.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwics.ics.uci.edu%2Fevent%2Fweek-5-northrop-grumman-workshop%2F	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fresearch%2Fprojects%2F&format=xml	complete
ngs.ics.uci.edu/towards-unified-search-ask	complete
wics.ics.uci.edu/women-empowering-women-lunch-2018/feed	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Freality-is-funnier-than-satire-on-snl%2F	complete
computableplant.ics.uci.edu/papers/2005/CVPR-2005-Abstract.html	complete
cml.ics.uci.edu/2010/05/2010_lixieintel	complete
wics.ics.uci.edu/wics-week-0-meet-and-greet	complete
sdcl.ics.uci.edu/contact/feed	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fvision-andor-hype-in-search%2F&format=xml	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fprofessionalsocial%2Frecognitions%2F	complete
ngs.ics.uci.edu/third-world-first/feed	complete
isg.ics.uci.edu	complete
wics.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwics.ics.uci.edu%2Ffall-quarter-update%2F8323227800_335865d9be_b%2F	complete
cml.ics.uci.edu/2015/03/spring-2015/feed	complete
ngs.ics.uci.edu/you-know-it-but-it-still-hurts	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fagain-in-china%2F	complete
wics.ics.uci.edu/wics-is-awarded-the-trailblazer-award-from-ncwit-and-google-org/feed	complete
ngs.ics.uci.edu/rip-my-four-legged-son/feed	complete
cml.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcml.ics.uci.edu%2F2006%2F03%2F2006_muriaward%2F	complete
ngs.ics.uci.edu/tag/quantified-health/feed	complete
chenli.ics.uci.edu/entrepreneurship	complete
www.ics.uci.edu/%7Emagda/cs620/outlineOG.html	complete
wics.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwics.ics.uci.edu%2Fevent%2Fhour-of-code-workshop%2F	complete
cml.ics.uci.edu/2018/09/fall-2018/feed	complete
www.ics.uci.edu/~lopes/teaching/cs221W14/index.html	complete
ngs.ics.uci.edu/on-hiring-an-australian-to-become-an-indian/feed	incomplete
wics.ics.uci.edu/wics-spring-quarter-week-8-amazon-alexa-skill-workshop?share=google-plus-1	complete
mhcid.ics.uci.edu/program/curriculum	complete
ngs.ics.uci.edu?p=849	complete
ngs.ics.uci.edu?p=848	complete
ngs.ics.uci.edu?p=847	complete
ngs.ics.uci.edu/tag/microblog/feed	complete
ngs.ics.uci.edu?p=845	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fentrepreneurship-education%2F	complete
ngs.ics.uci.edu?p=843	complete
cml.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcml.ics.uci.edu%2F2007%2F01%2F2007_jainbestpaper%2F	complete
ngs.ics.uci.edu/tag/experiential	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fmore-timelines%2F&format=xml	complete
wics.ics.uci.edu/event/the-portal-2?ical=1	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fresearch%2Fbooks%2F&format=xml	complete
ngs.ics.uci.edu/tag/computervision-multimedia	complete
wics.ics.uci.edu/fall-quarter-2017-week-0-wics-social/feed	complete
ngs.ics.uci.edu/on-hiring-an-australian-to-become-an-indian	complete
ngs.ics.uci.edu?p=1128	complete
ngs.ics.uci.edu?p=1129	complete
wics.ics.uci.edu?p=2570	complete
wics.ics.uci.edu?p=2573	complete
wics.ics.uci.edu/event/video-game-night-with-faculty	complete
wics.ics.uci.edu?p=2575	complete
ngs.ics.uci.edu/a-japanese-view-on-the-japneses-crisis	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fafter-mandarin-it-is-hindi%2F&format=xml	complete
wics.ics.uci.edu/event/week-5-northrop-grumman-workshop	complete
ngs.ics.uci.edu/tag/experioential-computing/feed	complete
mcs.ics.uci.edu?p=905	complete
mailman.ics.uci.edu/mailman/listinfo/cml	complete
ngs.ics.uci.edu/large-scale-cut-and-paste-to-enhance-photos	complete
ngs.ics.uci.edu/hectic-time-in-singapore/feed	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Ffirst-day-at-acm-multimedia%2F&format=xml	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fyahoo-acquires-upcomingorg%2F	complete
wics.ics.uci.edu?p=2682	complete
cml.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcml.ics.uci.edu%2F2017%2F10%2Ffall-2017%2F&format=xml	complete
ngs.ics.uci.edu?p=519	complete
ngs.ics.uci.edu?p=518	complete
wics.ics.uci.edu?p=2685	complete
ngs.ics.uci.edu?p=517	complete
ngs.ics.uci.edu?p=511	complete
ngs.ics.uci.edu?p=510	complete
ngs.ics.uci.edu?p=512	complete
www.ics.uci.edu/~lab/students	complete
www.ics.uci.edu/~amezasor	complete
futurehealth.ics.uci.edu?p=81	complete
sdcl.ics.uci.edu/knocap	complete
wics.ics.uci.edu	complete
www.ics.uci.edu/~iftekha/publication/can-testedness-be-effectively-measured	complete
www.ics.uci.edu/~perl/publication/losing_control	complete
wics.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwics.ics.uci.edu%2Fwinter-quarter-2017-week-4-crime-and-mystery-game-night%2F&format=xml	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fa-german-wedding%2F	complete
webmail.ics.uci.edu	complete
futurehealth.ics.uci.edu/resources/videos	complete
ngs.ics.uci.edu/category/entrepreneurism/page/10	complete
ngs.ics.uci.edu/category/entrepreneurism/page/11	incomplete
wics.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwics.ics.uci.edu%2Fevent%2Fstudy-session-snack-study%2F&format=xml	incomplete
wics.ics.uci.edu/hackuci-spring-2014?share=facebook	complete
cml.ics.uci.edu/2008/09/2008_speakerseries0809	complete
ngs.ics.uci.edu/proposals-and-proposals	complete
ngs.ics.uci.edu/healthy-foodie/feed	complete
futurehealth.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ffuturehealth.ics.uci.edu%2Feducation%2F	complete
ngs.ics.uci.edu/tag/semantic-gap/feed	complete
www.ics.uci.edu/~jfoulds	complete
www.ics.uci.edu/~sternh	complete
wics.ics.uci.edu/wics-fall-quarter-week-5-mentorship-reveal?share=facebook	complete
wics.ics.uci.edu?p=505	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fcurrent-research-challenges-in-computer-vision-and-multimedia%2F	complete
ngs.ics.uci.edu/tag/lifelog	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Finformation-assimilation-using-wikis-and-maps%2F	complete
cml.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcml.ics.uci.edu%2F2006%2F03%2F2006_smythstern%2F	complete
cloudberry.ics.uci.edu/wp-json	complete
mcs.ics.uci.edu/prospective-students/application-process	complete
ngs.ics.uci.edu/personal-analytics/feed	complete
cml.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcml.ics.uci.edu%2F2014%2F02%2F2014_improver%2F&format=xml	complete
wics.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwics.ics.uci.edu%2Fevent%2Fweek-3-resume-workshop%2F	incomplete
ngs.ics.uci.edu/verbs-and-nouns-on-the-web/feed	complete
ngs.ics.uci.edu/indian-medals-at-olympic-an-interesting-perspective	incomplete
sdcl.ics.uci.edu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsdcl.ics.uci.edu%2Fresearch%2Fcrowd-fault-localization%2F	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Ftalk-practical-apps-of-multimedia-search%2F	complete
cloudberry.ics.uci.edu/tag/tech/feed	complete
www.ics.uci.edu/~iftekha/publication/does-the-choice-of-mutation-tool-matter	complete
wics.ics.uci.edu/first-annual-wics-games	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Femerging-art-of-storytelling%2F	complete
wics.ics.uci.edu/fall-quarter-2017-week-0-wics-social	complete
ngs.ics.uci.edu/user-video-on-microsoft/feed	complete
wics.ics.uci.edu/first-wics-meeting-of-winter-14?share=facebook	complete
www.ics.uci.edu/~wjohnson/BIDA/Ch13/AcheDataExercise13-20.txt	complete
ngs.ics.uci.edu/capturing-experiences/feed	complete
wics.ics.uci.edu/event/thanksgiving?ical=1	complete
www.ics.uci.edu/~lopes/teaching/inf102S16/index.html	incomplete
wics.ics.uci.edu/ics-banquet?afg1_page_id=4	incomplete
wics.ics.uci.edu/ics-banquet?afg1_page_id=3	incomplete
wics.ics.uci.edu/ics-banquet?afg1_page_id=2	incomplete
ngs.ics.uci.edu/tag/fiction/feed	incomplete
wics.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwics.ics.uci.edu%2Fwics-fall-quarter-week-10-wics-potluck%2F	complete
ngs.ics.uci.edu/multimedia-semantics-bridging-the-semantic-gap/feed	incomplete
emj.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Femj.ics.uci.edu%2Ftalks%2Ftalks-computational-biology%2F	incomplete
wics.ics.uci.edu/wics-mock-interviews?share=google-plus-1	complete
wics.ics.uci.edu/wics-hosts-a-toy-hacking-workshop-with-dr-garnet-hertz/13-02-03-toy-hacker-001/feed	complete
ngs.ics.uci.edu/increasing-video-apps	incomplete
ngs.ics.uci.edu/towards-natural-interfaces/feed	complete
wics.ics.uci.edu/spring-quarter-2017-week-3-riot-tour	complete
wics.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwics.ics.uci.edu%2Fspring-quarter-2017-week-3-blizzard-tour%2F&format=xml	incomplete
www.ics.uci.edu/~wjohnson/BIDA/Ch13/OvarianCancerData.txt	complete
cml.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcml.ics.uci.edu%2F2016%2F03%2Fsouthern-california-machine-learning-symposium%2F	complete
ngs.ics.uci.edu/tag/photos/feed	complete
cwicsocal18.ics.uci.edu/leadership	complete
wics.ics.uci.edu/event/mock-technical-interviews?ical=1	incomplete
www.ics.uci.edu/~feldman/lec15F00.html	complete
ngs.ics.uci.edu/terrorism-in-india	complete
wics.ics.uci.edu?p=1056	incomplete
wics.ics.uci.edu?p=1054	incomplete
cml.ics.uci.edu/2018/09/fall-2018	complete
www.ics.uci.edu/~emj	complete
cml.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcml.ics.uci.edu%2F2007%2F12%2F2007_nips%2F&format=xml	complete
wics.ics.uci.edu/wics-is-invited-to-western-digital	complete
sdcl.ics.uci.edu/wp-login.php?action=lostpassword	incomplete
www.ics.uci.edu/grad/courses/details.php?id=521	complete
cml.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcml.ics.uci.edu%2F2015%2F05%2Fcenter-member-and-ics-dean-hal-stern-to-help-lead-national-effort-to-improve-criminal-evidence-analysis-cut-wrongful-convictions%2F&format=xml	complete
wics.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwics.ics.uci.edu%2Fevent%2Fredfin-resume-workshop%2F	complete
wics.ics.uci.edu/wics-fall-quarter-week-2-mentorship-mixer?share=google-plus-1	incomplete
ngs.ics.uci.edu/category/general-updates/page/3	complete
ngs.ics.uci.edu/category/general-updates/page/2	complete
ngs.ics.uci.edu/category/general-updates/page/5	incomplete
ngs.ics.uci.edu/category/general-updates/page/4	complete
wics.ics.uci.edu/event/project-meeting-4/feed	incomplete
ngs.ics.uci.edu?p=988	complete
ngs.ics.uci.edu?p=989	complete
wics.ics.uci.edu/wics-first-general-spring-quarter-meeting?share=facebook	incomplete
wics.ics.uci.edu/wics-fall-quarter-week-5-mentorship-reveal?afg97_page_id=3	complete
wics.ics.uci.edu?p=26	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fgoing-back-to-usa%2F&format=xml	complete
wics.ics.uci.edu/spring-quarter-2017-week-2-intro-to-command-line-workshop-w-hack?share=google-plus-1	complete
chenli.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fchenli.ics.uci.edu%2Fbiography%2F&format=xml	complete
wics.ics.uci.edu/wics-fall-quarter-week-5-mentorship-reveal?afg97_page_id=1	complete
wics.ics.uci.edu/event/wics-study-session-2	complete
wics.ics.uci.edu/project-development	complete
wics.ics.uci.edu/wics-is-awarded-the-trailblazer-award-from-ncwit-and-google-org?share=google-plus-1	incomplete
ngs.ics.uci.edu/blog/rlwaller13@hotmail.com	complete
wics.ics.uci.edu/wics-fall-quarter-week-8-academic-planning-workshop?share=google-plus-1	complete
wics.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwics.ics.uci.edu%2Fwinter-quarter-2017-week-5-twilio-info-session%2F	complete
cml.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcml.ics.uci.edu%2F2016%2F01%2Fwinter-2016%2F&format=xml	complete
wics.ics.uci.edu/brownie-troops-computer-expert-badge?afg26_page_id=1	complete
mswe.ics.uci.edu/comments/feed	incomplete
wics.ics.uci.edu/brownie-troops-computer-expert-badge?afg26_page_id=2	complete
wics.ics.uci.edu/week-3-wicsvgdc-workshop?share=google-plus-1	complete
www.ics.uci.edu/%7Eisaac/CVScherson-April2010	incomplete
wics.ics.uci.edu/photo-jan-08-19-08-34	complete
ngs.ics.uci.edu/going-to-acm-multimedia-2005/feed	complete
mhcid.ics.uci.edu?p=228	complete
wics.ics.uci.edu/event/presidents-day-2	complete
ngs.ics.uci.edu/acm-multimedia-2009/feed	complete
wics.ics.uci.edu/movie-night-and-boardgames-with-wics?share=google-plus-1	complete
www.ics.uci.edu/~yganjisa	incomplete
ngs.ics.uci.edu/india-and-china/feed	incomplete
ngs.ics.uci.edu/research/research-papers/multimedia-information-management/feed	complete
wics.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwics.ics.uci.edu%2Fevent%2Fround-1-social%2F	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fa-new-folk-art-self-photographs%2F&format=xml	complete
www.ics.uci.edu/~emilyo/SimSE	complete
ngs.ics.uci.edu?p=1712	complete
www.ics.uci.edu/~wjohnson/BIDA/Ch10/DogCode.txt	complete
ngs.ics.uci.edu?p=1715	complete
wics.ics.uci.edu?p=2749	complete
wics.ics.uci.edu?p=2744	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fnow-to-osteoarthritis-of-knees%2F	complete
wics.ics.uci.edu?p=2741	complete
wics.ics.uci.edu/2nd-post?share=twitter	incomplete
wics.ics.uci.edu/mock-interview/feed	incomplete
ngs.ics.uci.edu/till-divorce-do-us-apart	complete
wics.ics.uci.edu/spring-quarter-2017-week-3-riot-tour?share=twitter	incomplete
wics.ics.uci.edu/aspire-it-camp-techie-girls/feed	complete
wics.ics.uci.edu/fall-quarter-2017-week-0-wics-social?share=google-plus-1	complete
ngs.ics.uci.edu/research/research-papers/feed	complete
wics.ics.uci.edu/wics-week-0-meet-and-greet/feed	incomplete
www.ics.uci.edu/~wjohnson/BIDA/Ch1/BrassAlloyZincData.txt	complete
mswe.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmswe.ics.uci.edu%2Fprogram%2Fcurriculum%2F	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Facademia-and-visual-maps%2F&format=xml	incomplete
wics.ics.uci.edu/event/presidents-day	incomplete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Findian-sentiments-in-cricket%2F&format=xml	incomplete
wics.ics.uci.edu/wics-attends-cwic-socal?afg34_page_id=4	incomplete
wics.ics.uci.edu/wics-attends-cwic-socal?afg34_page_id=2	complete
